categorical_feature,numeric_feature,test_method,test_statistic,p_value,mutual_information,effect_label
customerID,SeniorCitizen,,,,0.0,Unknown
customerID,tenure,,,,0.0,Unknown
customerID,MonthlyCharges,,,,0.0,Unknown
customerID,TotalCharges,,,,0.0,Unknown
customerID,Churn_flag,,,,0.0,Unknown
customerID,expected_total_from_tenure_monthly,,,,0.0,Unknown
customerID,expected_total_for_zero_tenure,,,,0.0,Unknown
customerID,expected_min_total_from_contract,,,,0.0,Unknown
customerID,expected_total_senior,,,,0.0,Unknown
customerID,expected_total_from_payment_profile,,,,0.0,Unknown
customerID,total_charges_per_month,,,,0.0,Unknown
gender,SeniorCitizen,anova,0.024719596516357203,0.8750722952178809,0.0,Not significant
gender,tenure,anova,0.18399119852151938,0.6679785916861012,0.0004992423430616455,Not significant
gender,MonthlyCharges,anova,1.4858266478556317,0.22290594544454972,0.00015513456612303855,Not significant
gender,TotalCharges,anova,7.39699783129648e-05,0.993138058163586,0.0002945232556545996,Not significant
gender,Churn_flag,anova,0.5222569018402863,0.4699045390966534,0.0,Not significant
gender,expected_total_from_tenure_monthly,anova,1.770870108584192e-05,0.99664249463964,0.00022122630527432463,Not significant
gender,expected_total_for_zero_tenure,anova,,,0.0,Unknown
gender,expected_min_total_from_contract,anova,0.1376146322144668,0.7106751616274172,7.775405743259967e-05,Not significant
gender,expected_total_senior,anova,0.17684009348269542,0.6741822519159026,0.005993971929166619,Not significant
gender,expected_total_from_payment_profile,anova,1.770870108584192e-05,0.99664249463964,0.00022122630527432463,Not significant
gender,total_charges_per_month,anova,0.1336036257502776,0.7147355307636922,0.0002985008057376781,Not significant
Partner,SeniorCitizen,anova,1.9124758113498082,0.1667323539747384,0.0,Not significant
Partner,tenure,anova,1186.6430442786018,1.8524097651994337e-240,0.10748474913880957,Strong
Partner,MonthlyCharges,anova,66.57474902702762,3.957443339093459e-16,0.0120668352722757,Strong
Partner,TotalCharges,anova,794.8438453501233,8.754097336575578e-166,0.08587482710398708,Strong
Partner,Churn_flag,anova,163.06003598399454,6.220731129637685e-37,0.0,Strong
Partner,expected_total_from_tenure_monthly,anova,790.0233196109975,7.660695237555793e-165,0.08435952733708163,Strong
Partner,expected_total_for_zero_tenure,anova,,,0.0,Unknown
Partner,expected_min_total_from_contract,anova,527.1854879017146,1.4520890618641787e-112,0.05371314744634059,Strong
Partner,expected_total_senior,anova,128.27517522225858,2.9626904882093984e-28,0.08002829534339462,Strong
Partner,expected_total_from_payment_profile,anova,790.0233196109975,7.660695237555793e-165,0.08435952733708163,Strong
Partner,total_charges_per_month,anova,35.51307027121588,2.6556727411852853e-09,0.011680302606082993,Strong
Dependents,SeniorCitizen,anova,328.68146732431353,7.863819520059606e-72,0.0,Strong
Dependents,tenure,anova,184.564893949792,1.624291989899316e-41,0.02027266540795969,Strong
Dependents,MonthlyCharges,anova,92.72406599047804,8.189516821746845e-22,0.01056511854936426,Strong
Dependents,TotalCharges,anova,28.5495131318581,9.419506643078206e-08,0.008723065942452646,Strong
Dependents,Churn_flag,anova,195.1493137732394,9.140432989119264e-44,0.0,Strong
Dependents,expected_total_from_tenure_monthly,anova,27.398545390948662,1.7034184019364646e-07,0.008041289796013817,Strong
Dependents,expected_total_for_zero_tenure,,,,0.0,Unknown
Dependents,expected_min_total_from_contract,anova,131.29614455469545,3.940339941477896e-30,0.0274123051452122,Strong
Dependents,expected_total_senior,anova,19.81795494573662,9.353716876920004e-06,0.011433745627335234,Strong
Dependents,expected_total_from_payment_profile,anova,27.398545390948662,1.7034184019364646e-07,0.008041289796013817,Strong
Dependents,total_charges_per_month,anova,0.08547480512352222,0.77001943297597,0.010206175029136677,Not significant
PhoneService,SeniorCitizen,anova,0.5179364258183977,0.47174716058972466,0.0,Not significant
PhoneService,tenure,anova,0.500477884554003,0.4793136332609933,0.0004314035608712352,Not significant
PhoneService,MonthlyCharges,anova,459.4152291917001,8.759785775925438e-99,0.16805258608097207,Strong
PhoneService,TotalCharges,anova,91.0352333103455,1.9015921488219864e-21,0.020360523470277503,Strong
PhoneService,Churn_flag,anova,1.004266474792057,0.31631478134436675,0.0,Not significant
PhoneService,expected_total_from_tenure_monthly,anova,91.56710268452782,1.458409099060067e-21,0.0206641137839072,Strong
PhoneService,expected_total_for_zero_tenure,anova,,,0.0,Unknown
PhoneService,expected_min_total_from_contract,anova,22.229830963022863,2.4654069959829116e-06,0.04797235865038285,Strong
PhoneService,expected_total_senior,anova,39.140680751546796,5.568964032396165e-10,0.037776081903062586,Strong
PhoneService,expected_total_from_payment_profile,anova,91.56710268452782,1.458409099060067e-21,0.0206641137839072,Strong
PhoneService,total_charges_per_month,anova,91.26508141511887,1.6955679353889675e-21,0.15995682822563717,Strong
MultipleLines,SeniorCitizen,anova,77.35809049445604,5.856717485188522e-34,0.0,Strong
MultipleLines,tenure,anova,470.6059899066235,1.490812784460338e-192,0.08786165092123799,Strong
MultipleLines,MonthlyCharges,anova,1195.8249992298188,0.0,0.32711323356753974,Strong
MultipleLines,TotalCharges,anova,993.4306894356032,0.0,0.173569246191553,Strong
MultipleLines,Churn_flag,anova,5.67193234678505,0.0034569536298981306,0.0,Strong
MultipleLines,expected_total_from_tenure_monthly,anova,993.5382411696311,0.0,0.1726612767634812,Strong
MultipleLines,expected_total_for_zero_tenure,anova,,,0.0,Unknown
MultipleLines,expected_min_total_from_contract,anova,249.8650570545993,1.4566070340381412e-105,0.10164871824967481,Strong
MultipleLines,expected_total_senior,anova,121.94054913174772,1.031084267917688e-48,0.15088828658555675,Strong
MultipleLines,expected_total_from_payment_profile,anova,993.5382411696311,0.0,0.1726612767634812,Strong
MultipleLines,total_charges_per_month,anova,221.90505932889855,3.4965942744295563e-94,0.31808969433329404,Strong
InternetService,SeniorCitizen,anova,266.5619649753763,2.5558499793411912e-112,0.0,Strong
InternetService,tenure,anova,5.376106106854902,0.004644810002915552,0.0012855691255380108,Strong
InternetService,MonthlyCharges,anova,16160.584443491358,0.0,1.0339915924684937,Strong
InternetService,TotalCharges,anova,799.0423146146913,1.84637515405e-313,0.21652494218338703,Strong
InternetService,Churn_flag,anova,408.4703238508119,1.4572604559244511e-168,0.0,Strong
InternetService,expected_total_from_tenure_monthly,anova,803.9436214809692,3.40796848e-315,0.2158348602778588,Strong
InternetService,expected_total_for_zero_tenure,anova,,,0.0,Unknown
InternetService,expected_min_total_from_contract,anova,138.01902938266238,1.6010130461141084e-59,0.24990170749752405,Strong
InternetService,expected_total_senior,anova,38.889989529931334,4.5919317292368687e-17,0.06427398177528865,Strong
InternetService,expected_total_from_payment_profile,anova,803.9436214809692,3.40796848e-315,0.2158348602778588,Strong
InternetService,total_charges_per_month,anova,726.1828723820878,1.882659838180753e-287,1.0025913340248267,Strong
OnlineSecurity,SeniorCitizen,anova,164.1304311224189,2.142815582355045e-70,0.0,Strong
OnlineSecurity,tenure,anova,446.7028884649285,2.2789168150140683e-183,0.08416822028268323,Strong
OnlineSecurity,MonthlyCharges,anova,4970.525550215438,0.0,0.6193156163458537,Strong
OnlineSecurity,TotalCharges,anova,1069.9147655418603,0.0,0.25295023267818273,Strong
OnlineSecurity,Churn_flag,anova,483.12544301966204,2.4265723637157384e-197,0.0,Strong
OnlineSecurity,expected_total_from_tenure_monthly,anova,1072.031250644601,0.0,0.2520786415553107,Strong
OnlineSecurity,expected_total_for_zero_tenure,anova,,,0.0,Unknown
OnlineSecurity,expected_min_total_from_contract,anova,686.5072638704531,4.226602255261962e-273,0.19898582676157872,Strong
OnlineSecurity,expected_total_senior,anova,99.77234265966317,1.1826033308216176e-40,0.12396119817565587,Strong
OnlineSecurity,expected_total_from_payment_profile,anova,1072.031250644601,0.0,0.2520786415553107,Strong
OnlineSecurity,total_charges_per_month,anova,496.4461516077996,2.0254232744793755e-202,0.6035106096245517,Strong
OnlineBackup,SeniorCitizen,anova,121.65393347491778,1.1451136864114445e-52,0.0,Strong
OnlineBackup,tenure,anova,578.6149447360293,2.2259508000740365e-233,0.1034067828501879,Strong
OnlineBackup,MonthlyCharges,anova,5501.5844923259065,0.0,0.6499302778210354,Strong
OnlineBackup,TotalCharges,anova,1493.7908677159483,0.0,0.29401545426725395,Strong
OnlineBackup,Churn_flag,anova,328.88052344568894,2.837800864384076e-137,0.0,Strong
OnlineBackup,expected_total_from_tenure_monthly,anova,1497.206359773264,0.0,0.29389463536470517,Strong
OnlineBackup,expected_total_for_zero_tenure,anova,,,0.0,Unknown
OnlineBackup,expected_min_total_from_contract,anova,595.0647761917845,1.6760082823092387e-239,0.1715833424731219,Strong
OnlineBackup,expected_total_senior,anova,163.93454640970953,2.693906229726514e-63,0.17038566109142206,Strong
OnlineBackup,expected_total_from_payment_profile,anova,1497.206359773264,0.0,0.29389463536470517,Strong
OnlineBackup,total_charges_per_month,anova,529.4049730173203,6.502938374632497e-215,0.6343658072983112,Strong
DeviceProtection,SeniorCitizen,anova,122.0639799785277,7.704179176109391e-53,0.0,Strong
DeviceProtection,tenure,anova,579.6938503561846,8.813619638512495e-234,0.10582107411622621,Strong
DeviceProtection,MonthlyCharges,anova,5902.3288881249055,0.0,0.6722608133945602,Strong
DeviceProtection,TotalCharges,anova,1575.7517411850347,0.0,0.3035786995777219,Strong
DeviceProtection,Churn_flag,anova,303.12464171400904,5.214423543846823e-127,0.0,Strong
DeviceProtection,expected_total_from_tenure_monthly,anova,1574.3663455431822,0.0,0.30296540527418836,Strong
DeviceProtection,expected_total_for_zero_tenure,anova,,,0.0,Unknown
DeviceProtection,expected_min_total_from_contract,anova,869.4128077093919,0.0,0.20652955866816214,Strong
DeviceProtection,expected_total_senior,anova,145.2773294683572,6.359530605758695e-57,0.1570204649318896,Strong
DeviceProtection,expected_total_from_payment_profile,anova,1574.3663455431822,0.0,0.30296540527418836,Strong
DeviceProtection,total_charges_per_month,anova,551.8990588504923,2.2116854411118385e-223,0.6560192367248265,Strong
TechSupport,SeniorCitizen,anova,186.0380150962396,1.8511160353654447e-79,0.0,Strong
TechSupport,tenure,anova,438.049946083099,4.967116145927864e-180,0.08195861339064558,Strong
TechSupport,MonthlyCharges,anova,5083.813934989904,0.0,0.6247674285076736,Strong
TechSupport,TotalCharges,anova,1149.4013772736241,0.0,0.25794405652873786,Strong
TechSupport,Churn_flag,anova,469.08224011082945,5.718087937401043e-192,0.0,Strong
TechSupport,expected_total_from_tenure_monthly,anova,1150.2817311294777,0.0,0.2571654211364236,Strong
TechSupport,expected_total_for_zero_tenure,anova,,,0.0,Unknown
TechSupport,expected_min_total_from_contract,anova,933.1945223831689,0.0,0.22220383169439994,Strong
TechSupport,expected_total_senior,anova,128.897738277484,3.4444502446827364e-51,0.13441543187594984,Strong
TechSupport,expected_total_from_payment_profile,anova,1150.2817311294777,0.0,0.2571654211364236,Strong
TechSupport,total_charges_per_month,anova,505.51988092926325,7.191516352108349e-206,0.6063482733606982,Strong
StreamingTV,SeniorCitizen,anova,125.56071655178677,2.628533492132888e-54,0.0,Strong
StreamingTV,tenure,anova,329.04526559347306,2.440901483141529e-137,0.062164797319324006,Strong
StreamingTV,MonthlyCharges,anova,8261.516372606804,0.0,0.8094185843370627,Strong
StreamingTV,TotalCharges,anova,1486.8878744841215,0.0,0.29063045041947433,Strong
StreamingTV,Churn_flag,anova,197.51659358865075,3.466666726563143e-84,0.0,Strong
StreamingTV,expected_total_from_tenure_monthly,anova,1489.1790180355417,0.0,0.29013895005232015,Strong
StreamingTV,expected_total_for_zero_tenure,anova,,,0.0,Unknown
StreamingTV,expected_min_total_from_contract,anova,610.5060259624815,3.152825500412738e-245,0.195791464937781,Strong
StreamingTV,expected_total_senior,anova,132.27162736751725,2.213945793893178e-52,0.15078212918851852,Strong
StreamingTV,expected_total_from_payment_profile,anova,1489.1790180355417,0.0,0.29013895005232015,Strong
StreamingTV,total_charges_per_month,anova,643.9027111867281,1.5422538143837078e-257,0.7821627508913562,Strong
StreamingMovies,SeniorCitizen,anova,130.34131927401296,2.608228864121602e-56,0.0,Strong
StreamingMovies,tenure,anova,347.11336700611463,1.691506782241657e-144,0.06730743666708294,Strong
StreamingMovies,MonthlyCharges,anova,8142.36141254696,0.0,0.8063544924522534,Strong
StreamingMovies,TotalCharges,anova,1512.0993358221795,0.0,0.29437201394630996,Strong
StreamingMovies,Churn_flag,anova,198.32927384726057,1.6060474411427394e-84,0.0,Strong
StreamingMovies,expected_total_from_tenure_monthly,anova,1515.1341985496147,0.0,0.29680834555126046,Strong
StreamingMovies,expected_total_for_zero_tenure,anova,,,0.0,Unknown
StreamingMovies,expected_min_total_from_contract,anova,635.0251249638884,2.824310607323324e-254,0.19808866989174811,Strong
StreamingMovies,expected_total_senior,anova,140.1393874666935,3.869912508035657e-55,0.1739655978777228,Strong
StreamingMovies,expected_total_from_payment_profile,anova,1515.1341985496147,0.0,0.29680834555126046,Strong
StreamingMovies,total_charges_per_month,anova,606.7900011542085,7.492631985618382e-244,0.7837777311391751,Strong
Contract,SeniorCitizen,anova,74.397217778914,1.0627009703878258e-32,0.0,Strong
Contract,tenure,anova,2962.3388632359347,0.0,0.39303535953728685,Strong
Contract,MonthlyCharges,anova,21.15256193608282,6.935069283209399e-10,0.03842945637125883,Strong
Contract,TotalCharges,anova,927.6015999527917,0.0,0.18869413135959334,Strong
Contract,Churn_flag,anova,711.760462563098,2.992166302020095e-282,0.0,Strong
Contract,expected_total_from_tenure_monthly,anova,919.8160442089071,0.0,0.18587116619591315,Strong
Contract,expected_total_for_zero_tenure,anova,,,0.0,Unknown
Contract,expected_min_total_from_contract,anova,6786.280539409395,0.0,0.740183038899703,Strong
Contract,expected_total_senior,anova,264.3567814205396,4.9214036415929705e-95,0.22960947467459647,Strong
Contract,expected_total_from_payment_profile,anova,919.8160442089071,0.0,0.18587116619591315,Strong
Contract,total_charges_per_month,anova,1.0055626212508464,0.3658912874757036,0.038889816996305004,Not significant
PaperlessBilling,SeniorCitizen,anova,176.84812709309273,7.134300063813182e-40,0.0,Strong
PaperlessBilling,tenure,anova,0.2630061215898857,0.6080784785817394,0.0002911869885005025,Not significant
PaperlessBilling,MonthlyCharges,anova,997.2513203112269,8.057802366898743e-205,0.09219593870272869,Strong
PaperlessBilling,TotalCharges,anova,180.277763934759,1.3274331232328848e-40,0.019714131341315166,Strong
PaperlessBilling,Churn_flag,anova,268.9852180928089,2.3565543205901595e-59,0.0,Strong
PaperlessBilling,expected_total_from_tenure_monthly,anova,182.10423509762285,5.422995348197309e-41,0.020042770144521604,Strong
PaperlessBilling,expected_total_for_zero_tenure,anova,,,0.0,Unknown
PaperlessBilling,expected_min_total_from_contract,anova,0.5266518933576678,0.46804200412138763,0.027283290476648236,Not significant
PaperlessBilling,expected_total_senior,anova,5.116744432639859,0.02388370275280482,0.0029620318309957483,Moderate
PaperlessBilling,expected_total_from_payment_profile,anova,182.10423509762285,5.422995348197309e-41,0.020042770144521604,Strong
PaperlessBilling,total_charges_per_month,anova,164.40857996692696,3.2058049353018913e-37,0.08841244256589365,Strong
PaymentMethod,SeniorCitizen,anova,93.72236990568031,1.7893604346968612e-59,0.0,Strong
PaymentMethod,tenure,anova,446.4750270313799,1.4885105720481231e-265,0.1217095281325733,Strong
PaymentMethod,MonthlyCharges,anova,450.7992597484254,6.451945827445105e-268,0.13280507061552704,Strong
PaymentMethod,TotalCharges,anova,328.3707410426492,1.446598272319548e-199,0.11501008416898717,Strong
PaymentMethod,Churn_flag,anova,237.80950657419336,5.583595720601323e-147,0.0,Strong
PaymentMethod,expected_total_from_tenure_monthly,anova,330.21392439268664,1.2836883068328294e-200,0.11572318101379864,Strong
PaymentMethod,expected_total_for_zero_tenure,anova,,,0.0,Unknown
PaymentMethod,expected_min_total_from_contract,anova,242.15351578152112,1.5246857657407978e-149,0.10590113390535949,Strong
PaymentMethod,expected_total_senior,anova,49.009421770640735,8.631623017087522e-30,0.10335645244394609,Strong
PaymentMethod,expected_total_from_payment_profile,anova,330.21392439268664,1.2836883068328294e-200,0.11572318101379864,Strong
PaymentMethod,total_charges_per_month,anova,59.024294769182916,1.1165662296887463e-37,0.12799941953894045,Strong
Churn,SeniorCitizen,anova,164.04142445613613,3.839860055793829e-37,0.0,Strong
Churn,tenure,anova,997.703172912651,6.609786308372265e-205,0.09965076158754904,Strong
Churn,MonthlyCharges,anova,274.3158267365997,1.7934040905099888e-60,0.03783970315354779,Strong
Churn,TotalCharges,anova,290.520194435069,7.223420443614861e-64,0.04208410614697167,Strong
Churn,Churn_flag,anova,,,0.0,Unknown
Churn,expected_total_from_tenure_monthly,anova,288.88537369388536,1.5881049481335665e-63,0.04134426605896735,Strong
Churn,expected_total_for_zero_tenure,,,,0.0,Unknown
Churn,expected_min_total_from_contract,anova,634.3049380840487,4.3284940090042877e-134,0.10736589916157824,Strong
Churn,expected_total_senior,anova,151.87778164038272,7.49889961950094e-33,0.09237364929141423,Strong
Churn,expected_total_from_payment_profile,anova,288.88537369388536,1.5881049481335665e-63,0.04134426605896735,Strong
Churn,total_charges_per_month,anova,40.00847827460224,2.6834433517575624e-10,0.03622169001692299,Strong
SeniorCitizen_flag_text,SeniorCitizen,anova,,,0.0,Unknown
SeniorCitizen_flag_text,tenure,anova,1.9268064869607664,0.16515217318125727,0.0005628396140040515,Not significant
SeniorCitizen_flag_text,MonthlyCharges,anova,359.20580490195124,3.6122337229899922e-78,0.04073914984790328,Strong
SeniorCitizen_flag_text,TotalCharges,anova,75.45228669735783,4.599787978947635e-18,0.0092559731809847,Strong
SeniorCitizen_flag_text,Churn_flag,anova,164.04142445613508,3.839860055795412e-37,0.0,Strong
SeniorCitizen_flag_text,expected_total_from_tenure_monthly,anova,76.12662593099273,3.280973330967812e-18,0.009132511470751226,Strong
SeniorCitizen_flag_text,expected_total_for_zero_tenure,,,,0.0,Unknown
SeniorCitizen_flag_text,expected_min_total_from_contract,anova,15.442017127884233,8.588989265616236e-05,0.015017544638282754,Strong
SeniorCitizen_flag_text,expected_total_senior,,,,0.0,Unknown
SeniorCitizen_flag_text,expected_total_from_payment_profile,anova,76.12662593099273,3.280973330967812e-18,0.009132511470751226,Strong
SeniorCitizen_flag_text,total_charges_per_month,anova,61.590179458403846,4.856170587724102e-15,0.03769396363699418,Strong
Senior_flag,SeniorCitizen,anova,,,0.0,Unknown
Senior_flag,tenure,anova,1.9268064869607664,0.16515217318125727,0.0005628396140040515,Not significant
Senior_flag,MonthlyCharges,anova,359.20580490195124,3.6122337229899922e-78,0.04073914984790328,Strong
Senior_flag,TotalCharges,anova,75.45228669735783,4.599787978947635e-18,0.0092559731809847,Strong
Senior_flag,Churn_flag,anova,164.04142445613508,3.839860055795412e-37,0.0,Strong
Senior_flag,expected_total_from_tenure_monthly,anova,76.12662593099273,3.280973330967812e-18,0.009132511470751226,Strong
Senior_flag,expected_total_for_zero_tenure,,,,0.0,Unknown
Senior_flag,expected_min_total_from_contract,anova,15.442017127884233,8.588989265616236e-05,0.015017544638282754,Strong
Senior_flag,expected_total_senior,,,,0.0,Unknown
Senior_flag,expected_total_from_payment_profile,anova,76.12662593099273,3.280973330967812e-18,0.009132511470751226,Strong
Senior_flag,total_charges_per_month,anova,61.590179458403846,4.856170587724102e-15,0.03769396363699418,Strong
pseudo_start,SeniorCitizen,,,,0.0,Unknown
pseudo_start,tenure,,,,0.0,Unknown
pseudo_start,MonthlyCharges,,,,0.0,Unknown
pseudo_start,TotalCharges,,,,0.0,Unknown
pseudo_start,Churn_flag,,,,0.0,Unknown
pseudo_start,expected_total_from_tenure_monthly,,,,0.0,Unknown
pseudo_start,expected_total_for_zero_tenure,,,,0.0,Unknown
pseudo_start,expected_min_total_from_contract,,,,0.0,Unknown
pseudo_start,expected_total_senior,,,,0.0,Unknown
pseudo_start,expected_total_from_payment_profile,,,,0.0,Unknown
pseudo_start,total_charges_per_month,,,,0.0,Unknown
pseudo_end,SeniorCitizen,anova,1.0417639253845583,0.38193140424877,0.0,Not significant
pseudo_end,tenure,anova,,,2.3212900834206414,Strong (MI)
pseudo_end,MonthlyCharges,anova,7.581008308863782,1.3315404771951685e-70,0.11001867196203818,Strong
pseudo_end,TotalCharges,anova,216.01247455713425,0.0,1.2192976317591118,Strong
pseudo_end,Churn_flag,anova,17.252534887236752,1.363708766758203e-193,0.0,Strong
pseudo_end,expected_total_from_tenure_monthly,anova,216.91548879612284,0.0,1.227959924950225,Strong
pseudo_end,expected_total_for_zero_tenure,,,,0.0,Unknown
pseudo_end,expected_min_total_from_contract,anova,75.8312819686787,0.0,0.3852303908140886,Strong
pseudo_end,expected_total_senior,anova,72.79262156900708,0.0,1.5580745201250146,Strong
pseudo_end,expected_total_from_payment_profile,anova,216.91548879612284,0.0,1.227959924950225,Strong
pseudo_end,total_charges_per_month,anova,325.9456627096487,0.0,0.10888160543405512,Strong
_logic_repair_applied,SeniorCitizen,,,,0.0,Unknown
_logic_repair_applied,tenure,,,,0.0,Unknown
_logic_repair_applied,MonthlyCharges,,,,0.0,Unknown
_logic_repair_applied,TotalCharges,,,,0.0,Unknown
_logic_repair_applied,Churn_flag,,,,0.0,Unknown
_logic_repair_applied,expected_total_from_tenure_monthly,,,,0.0,Unknown
_logic_repair_applied,expected_total_for_zero_tenure,,,,0.0,Unknown
_logic_repair_applied,expected_min_total_from_contract,,,,0.0,Unknown
_logic_repair_applied,expected_total_senior,,,,0.0,Unknown
_logic_repair_applied,expected_total_from_payment_profile,,,,0.0,Unknown
_logic_repair_applied,total_charges_per_month,,,,0.0,Unknown
tenure_months_bucket,SeniorCitizen,anova,2.34688187681339,0.05221615257949622,0.0,Weak
tenure_months_bucket,tenure,anova,49587.00902528416,0.0,1.7678499566456392,Strong
tenure_months_bucket,MonthlyCharges,anova,109.61750449565793,8.961796772037265e-91,0.07329946452136316,Strong
tenure_months_bucket,TotalCharges,anova,3433.776524790811,0.0,0.9637850887437951,Strong
tenure_months_bucket,Churn_flag,anova,247.82459849000708,1.7882657250754636e-199,0.0,Strong
tenure_months_bucket,expected_total_from_tenure_monthly,anova,3453.391350116451,0.0,0.9684487040997745,Strong
tenure_months_bucket,expected_total_for_zero_tenure,,,,0.0,Unknown
tenure_months_bucket,expected_min_total_from_contract,anova,1247.0362359176133,0.0,0.34721384191974236,Strong
tenure_months_bucket,expected_total_senior,anova,1043.9646590845045,0.0,1.1430767191128721,Strong
tenure_months_bucket,expected_total_from_payment_profile,anova,3453.391350116451,0.0,0.9684487040997745,Strong
tenure_months_bucket,total_charges_per_month,anova,12.540627539454928,3.625322446747712e-10,0.06819143290025309,Strong
