run_id,data_readiness_index,missingness_score,outlier_score,domain_score,logic_repair_score,revalidation_score,integrity_index_base,timestamp_utc
sec2_apply_20251205T005420Z,,,,,,,,2025-12-05 00:54:23.896939+00:00
sec2_apply_20251205T140353Z,,,,,,,,2025-12-05 14:03:55.764738+00:00
sec2_apply_20251205T154543Z,,,,,,,,2025-12-05 15:45:46.135821+00:00
sec2_apply_20251205T160916Z,,,,,,,,2025-12-05 16:09:18.330625+00:00
sec2_apply_20251205T161613Z,,,,,,,,2025-12-05 16:16:15.843681+00:00
sec2_apply_20251205T164244Z,,,,,,,,2025-12-05 16:42:47.238387+00:00
sec2_apply_20251205T174447Z,,,,,,,,2025-12-05 17:44:49.797435+00:00
sec2_apply_20251205T181445Z,,,,,,,,2025-12-05 18:14:47.566349+00:00
sec2_apply_20251205T183609Z,,,,,,,,2025-12-05 18:36:12.103324+00:00
sec2_apply_20251205T191224Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-05 19:12:27.706565+00:00
sec2_apply_20251205T191819Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-05 19:18:22.076680+00:00
sec2_apply_20251205T192124Z,,,,,,,,2025-12-05 19:21:26.725808+00:00
sec2_apply_20251206T172653Z,,,,,,,,2025-12-06 17:26:56.591971+00:00
sec2_apply_20251206T234318Z,,,,,,,,2025-12-06 23:43:21.296444+00:00
sec2_apply_20251206T234512Z,,,,,,,,2025-12-06 23:45:16.970880+00:00
sec2_apply_20251207T193944Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-07 19:39:53.682932+00:00
sec2_apply_20251208T193616Z,,,,,,,,2025-12-08 19:36:19.218779+00:00
sec2_apply_20251208T220321Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-08 22:03:24.438642+00:00
sec2_apply_20251209T203725Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-09 20:37:30.364681+00:00
sec2_apply_20251210T020551Z,,,,,,,,2025-12-10 02:05:55.042130+00:00
sec2_apply_20251210T021030Z,,,,,,,,2025-12-10 02:10:33.017725+00:00
sec2_apply_20251210T021240Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-10 02:12:43.566144+00:00
sec2_apply_20251210T030546Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-10 03:05:49.372658+00:00
sec2_apply_20251210T032148Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-10 03:21:51.379835+00:00
sec2_apply_20251210T040655Z,,,,,,,,2025-12-10 04:06:57.095541+00:00
sec2_apply_20251210T210509Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-10 21:05:12.239981+00:00
sec2_apply_20251210T215903Z,,,,,,,,2025-12-10 21:59:07.167881+00:00
sec2_apply_20251210T232103Z,,,,,,,,2025-12-10 23:21:06.904144+00:00
sec2_apply_20251210T235925Z,,,,,,,,2025-12-10 23:59:28.269184+00:00
sec2_apply_20251211T002717Z,,,,,,,,2025-12-11 00:27:19.338979+00:00
sec2_apply_20251211T203026Z,,,,,,,,2025-12-11 20:30:29.362914+00:00
sec2_apply_20251211T203434Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-11 20:34:37.556926+00:00
sec2_apply_20251211T203848Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-11 20:38:51.978647+00:00
sec2_apply_20251211T204832Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-11 20:48:35.578815+00:00
sec2_apply_20251211T222453Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-11 22:24:56.075196+00:00
sec2_apply_20251211T223140Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-11 22:31:42.990699+00:00
sec2_apply_20251211T225634Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-11 22:56:37.964838+00:00
sec2_apply_20251211T234643Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-11 23:46:46.501693+00:00
sec2_apply_20251212T000210Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-12 00:02:13.444726+00:00
sec2_apply_20251212T002510Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-12 00:25:13.322992+00:00
sec2_apply_20251212T002906Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-12 00:29:08.994797+00:00
sec2_apply_20251212T015252Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-12 01:52:55.732431+00:00
sec2_apply_20251212T021402Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-12 03:05:26.937467+00:00
sec2_apply_20251212T042409Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-12 04:36:19.821475+00:00
sec2_apply_20251212T042409Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-12 04:37:03.719357+00:00
sec2_apply_20251212T044753Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-12 04:47:56.756725+00:00
sec2_apply_20251212T045010Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-12 04:50:16.273387+00:00
sec2_apply_20251212T045423Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-12 04:54:27.954233+00:00
sec2_apply_20251212T045905Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-12 04:59:08.614611+00:00
sec2_apply_20251212T050828Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-12 05:08:32.586496+00:00
sec2_apply_20251212T052101Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-12 05:21:04.551844+00:00
sec2_apply_20251212T053552Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-12 05:35:55.531884+00:00
sec2_apply_20251212T060043Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-12 06:00:47.265540+00:00
sec2_apply_20251212T183311Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-12 18:33:21.301779+00:00
sec2_apply_20251212T193238Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-12 19:32:41.140668+00:00
sec2_apply_20251212T205328Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-12 20:53:31.311918+00:00
sec2_apply_20251212T211820Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-12 21:18:24.335999+00:00
sec2_apply_20251212T220159Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-12 22:02:02.477445+00:00
sec2_apply_20251213T010449Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-13 01:04:52.370370+00:00
sec2_apply_20251213T011324Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-13 01:13:28.317793+00:00
sec2_apply_20251213T014128Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-13 01:41:31.124826+00:00
