,customerID,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn,SeniorCitizen_flag_text,Senior_flag,pseudo_start,tenure_months_bucket,_logic_repair_applied
customerID,1.0,,,,,,,,,,,,,,,,,,,,,
gender,0.0,1.0,2.358348144501951e-06,7.979286930513674e-05,3.036862442110996e-05,6.444919012381766e-05,9.243886016810493e-05,0.00020909124451812532,0.00013734820541705058,2.6225816785570908e-05,6.818721704909157e-05,5.642958071692454e-05,8.168044880062606e-05,4.795171586002055e-05,9.966553792183681e-05,0.00025082767550330023,5.350282941972889e-05,2.5326201100702233e-06,2.5326201100702233e-06,0.0,0.0003721988645983749,0.0
Partner,0.0,2.3601550601941314e-06,1.0,0.15710513505502705,0.00022667171030706226,0.014995497220360565,5.943737840999145e-07,0.016754365837815647,0.017049642621263305,0.020136756123051117,0.011794519533321404,0.013672071668187577,0.012164426815905228,0.06452215031566515,0.00015976352865048094,0.019208695636305978,0.01653787456088377,0.00019594673890009233,0.00019594673890009233,0.0,0.10287028697399109,0.0
Dependents,0.0,9.058678360854915e-05,0.17822085308968372,1.0,2.538174329331459e-06,0.000516605096997275,0.02667396338121645,0.03112080937309177,0.021416644815578267,0.019960496923002738,0.027186775167409336,0.017170250422767593,0.015710414007293567,0.0482965623761162,0.010075607150941622,0.019395555073029497,0.023696814513892297,0.044488793777819176,0.044488793777819176,0.0,0.021645693640496313,0.0
PhoneService,0.0,6.617590028751493e-05,0.0004935594137060082,4.871867045578657e-06,1.0,1.0,0.35745196302627225,0.08052001881895704,0.07901627808116343,0.07879618954627975,0.08083025657984241,0.08244717170677504,0.0811123050257305,2.4889464801834498e-05,0.00042599396925093743,0.00016661566638993377,0.0002268668782771311,0.00011733292668062775,0.00011733292668062775,0.0,0.0013765560921757767,0.0
MultipleLines,0.0,4.7413380309605295e-05,0.011023302003147021,0.0003347660316494753,0.3376048811070546,1.0,0.17617124059028985,0.06599345115672137,0.0741112835942847,0.07494734008506802,0.06625718800742554,0.0827217131235641,0.08327717088324169,0.006853626496165178,0.014846243485475938,0.031003766016022463,0.0008504777978585698,0.01141001701359343,0.01141001701359343,0.0,0.0631326145950945,0.0
InternetService,0.0,6.045748400575596e-05,3.8843871987394463e-07,0.0153667590323657,0.10728485944349686,0.15661993727879295,1.0,0.5115804069647247,0.49327424254029134,0.49319442028459703,0.5099020982565032,0.5037719331120946,0.5026013976780142,0.040362402250315337,0.06926771400294049,0.09777925843826223,0.05244106217492045,0.03622211894278071,0.03622211894278071,0.0,0.0008691505994743402,0.0
OnlineSecurity,0.0,0.0001397334978472712,0.01118819578321083,0.018319550313005677,0.02469413470733677,0.059949017340370676,0.5227368278984839,1.0,0.5161358138564809,0.5148922924353126,0.5319594604530277,0.5046774177227857,0.5051271277762457,0.09188625625641561,0.05666977173152947,0.09013442642162184,0.0623618999062227,0.025702647851215208,0.025702647851215208,0.0,0.05361118244982132,0.0
OnlineBackup,0.0,8.980600614852708e-05,0.011139483486570522,0.012334827213719235,0.023709599877629207,0.06586933423854546,0.4931458059791423,0.504988752952437,1.0,0.5057662319437836,0.5064834844812741,0.5010693876695305,0.49998980377580254,0.06537722846517582,0.04839544048940928,0.07740207008527838,0.04414280094029394,0.020456179911485073,0.020456179911485073,0.0,0.0674186905678288,0.0
DeviceProtection,0.0,1.715182048345678e-05,0.013159460667540878,0.011498780695816615,0.02364893992728873,0.06662756919149998,0.49317819448209904,0.5038867140338428,0.5058813116701107,1.0,0.513750517311738,0.5218261729003505,0.5245065486839927,0.08854041145067369,0.048601646072988065,0.08013077166131437,0.04143962903425088,0.020504903434746067,0.020504903434746067,0.0,0.06755815091026979,0.0
TechSupport,0.0,4.548476674493993e-05,0.007861594521917975,0.015974230408317722,0.024743562360110265,0.060077596747328245,0.5200610365804071,0.5309784066863883,0.5167088510587869,0.5240033682856808,1.0,0.5128934834891802,0.5129644561186255,0.11322806714283466,0.052267902655994875,0.09098853271540404,0.06065288116902799,0.028158519086814257,0.028158519086814257,0.0,0.05344678253640709,0.0
StreamingTV,0.0,3.670759062409716e-05,0.008886909608677216,0.00983841024777048,0.02461217988056418,0.07314508033898087,0.5010574641369424,0.49124511587667813,0.49849927782406156,0.5190314982830032,0.5001649234042135,1.0,0.5623841367162752,0.0538129816646197,0.05326997968395862,0.07538438001425005,0.029946853122036366,0.020767799548628233,0.020767799548628233,0.0,0.039114766526420056,0.0
StreamingMovies,0.0,5.312834158865347e-05,0.007906188678639299,0.009001088185994148,0.024211413757530133,0.0736292966873783,0.49984614637964814,0.4916365405223776,0.49737837436231785,0.521648375685305,0.5001870130752226,0.5623311606210062,1.0,0.055172179522309565,0.05188877463325628,0.07599834399999836,0.030031283990155325,0.021275148596051535,0.021275148596051535,0.0,0.04097912634401823,0.0
Contract,0.0,3.327607955227944e-05,0.04474084834443897,0.029521842854375122,7.926269268757707e-06,0.006464947161621627,0.04282619794596674,0.09541438953783092,0.06938604185542772,0.09394817278639625,0.1177928933077059,0.05740715195786006,0.058862675484684684,1.0,0.01576810622746599,0.07665794894558453,0.09857347854350826,0.011018709795523229,0.011018709795523229,0.0,0.26495546608899706,0.0
PaperlessBilling,0.0,0.00010218080496897268,0.00016367009293079688,0.009099023215064507,0.00020042551935611536,0.0206898541231204,0.10858245878379312,0.08693828822005288,0.07588332603128294,0.0761893175311773,0.08033344139422241,0.08395716774924912,0.08178799753693013,0.02329570402674909,1.0,0.04640452184388157,0.02839237539845962,0.0192269974751721,0.0192269974751721,0.0,7.421386244826672e-05,0.0
PaymentMethod,0.0,0.00012710953623810747,0.009726754089564605,0.0086577319640344,3.8747508069578576e-05,0.0213566768581602,0.07576243633079331,0.06834845425451958,0.05998917136929924,0.06208987794283443,0.06912359807192138,0.05872661811670543,0.05921049144271976,0.055979868529483987,0.022937108989293405,1.0,0.03254975617064047,0.01501298370568403,0.01501298370568403,0.0,0.0590307662978568,0.0
Churn,0.0,6.409086889691715e-05,0.0197955003590357,0.025003949982593882,0.00012471416034477074,0.0013848378835373707,0.09604956480622776,0.11178256340220227,0.08087176149409081,0.07590214846583068,0.10892005186979278,0.05514695610460484,0.055307644989832594,0.17015765456730209,0.033173923113162196,0.07694217675420266,1.0,0.018280818761022832,0.018280818761022832,0.0,0.11157148129326554,0.0
SeniorCitizen_flag_text,0.0,3.96054510683789e-06,0.00030618952789798266,0.06128226186310946,8.4203487366129e-05,0.02425424442738854,0.08660905045578632,0.06014480149657334,0.048924574122866916,0.04902994900122726,0.06601334160336997,0.049925950277827806,0.05115043962735828,0.024830625286900613,0.029327299713343243,0.04632860734008076,0.023864983916988863,1.0,1.0,0.0,0.00148725327573038,0.0
Senior_flag,0.0,3.96054510683789e-06,0.00030618952789798266,0.06128226186310946,8.4203487366129e-05,0.02425424442738854,0.08660905045578632,0.06014480149657334,0.048924574122866916,0.04902994900122726,0.06601334160336997,0.049925950277827806,0.05115043962735828,0.024830625286900613,0.029327299713343243,0.04632860734008076,0.023864983916988863,1.0,1.0,0.0,0.00148725327573038,0.0
pseudo_start,,,,,,,,,,,,,,,,,,,,1.0,,
tenure_months_bucket,0.0,0.00016602243771692823,0.04585102767081689,0.008504768416418309,0.00028178048828141755,0.03827913040142802,0.000592776923543503,0.03578346940373682,0.04599278011329353,0.04607743519248771,0.035739650591804784,0.026821522614801363,0.028102586509609815,0.1703086177646647,3.22888422158379e-05,0.0519598014166749,0.04154564747095775,0.0004242206095923382,0.0004242206095923382,0.0,1.0,0.0
_logic_repair_applied,,,,,,,,,,,,,,,,,,,,,,1.0
